Q Id,AP@20,ndcg@20
126,1.0,0.8526059709149921
127,0.5464285714285714,0.7456381696353256
128,0.775,0.8846698220289714
129,1.0,0.8894260881146188
130,0.25,0.4440395128544128
131,0.4260763797605903,0.5818784739238401
132,0.6497236890094032,0.6846597038964902
133,0.7646106089759339,0.7775284296799048
134,0.4520833333333333,0.6774949772221648
135,0.14285714285714285,0.3562071871080222
136,0.35802808302808303,0.49911355337406216
137,0.8766296203796203,0.8818313696150093
138,0,0
139,1.0,0.9632156779452276
140,0.1514161220043573,0.3189208542782536
141,0.697278911564626,0.8251921462087365
142,0.5678620082402976,0.7778614613701477
143,0.8579137547836329,0.8549214072919658
144,0.9472222222222222,0.8833418604183912
145,0.5811235063838498,0.6439828669790331
146,0,0
147,0.4548091166291078,0.5387299554050315
148,0.8271312021312022,0.8923853643956499
149,0.486558146207269,0.7271252236626277
150,0.7116293655509341,0.8263707237504374
151,0.7176190476190476,0.8607988706693019
152,0.13333333333333333,0.29366764565969744
153,0.5338235294117647,0.6586477723027252
154,0,0
155,0.9817801404957179,0.9798818357705513
156,0.9480519480519481,0.9770806883616678
157,0.26319444444444445,0.4140051161842037
158,0.2874435604201194,0.4467663582209936
159,0.691358024691358,0.7861591286294368
160,0.2722850678733032,0.49409818068632866
161,0.5,1.0
162,1.0,0.8738132885112487
163,0.6095679012345679,0.6647898910922264
164,0.8632768601503326,0.8880588138652845
165,0.45138888888888884,0.58688267143572
166,0.2,0.43067655807339306
167,0.9393433047215942,0.9650936908238775
168,0.9395926496240166,0.8335514578177404
169,0,0
170,0,0
171,0,0
172,0.7889822595704947,0.916468977158677
173,0.0625,0.25
174,0.21193181818181817,0.3747858456347258
175,0.5733972715880611,0.6145059222433131
 ,0.5298650366958195,0.6167374702642886
